x,Output,Zero_line,Inflation
2020-03-31,0.0,0.0,0.0
2020-06-30,0.039770215665210634,0.0,0.004420013084084525
2020-09-30,0.1142029542447404,0.0,0.011651515118533452
2020-12-31,0.17463894146014447,0.0,0.01622178755780384
2021-03-31,0.40064834035608327,0.0,0.039286642889329614
2021-06-30,0.4189112506932317,0.0,0.034821191716389296
2021-09-30,0.5487395372286594,0.0,0.04723464707707934
2021-12-31,0.8039881509402327,0.0,0.0711588436592645
2022-03-31,1.109592655939411,0.0,0.09686991544282567
2022-06-30,1.6511601740665616,0.0,0.14658291644981475
2022-09-30,2.2474690939007647,0.0,0.19540124563906808
2022-12-31,2.7119794958558474,0.0,0.22633671235000002
2023-03-31,3.3949782521915233,0.0,0.2835556016449579
2023-06-30,3.868648711420341,0.0,0.3112367255182962
2023-09-30,4.399719627138554,0.0,0.3488871972267643
2023-12-31,4.616738210511423,0.0,0.3498818061646134
2024-03-31,4.652773142813512,0.0,0.33807390506662327
2024-06-30,3.8803758110382027,0.0,0.2420144065595594
2024-09-30,3.4682063976842943,0.0,0.20825092034701442
2024-12-31,3.3256248231513674,0.0,0.19973310129542865
