Date,HLW_minus_DSGE,PolicyRate,Inflation,Output,ExAnteRealRate,RealNaturalRate
2020-06-30,1.5377776276266109,1.9197269707149007,0.8825880323548196,2.370991090115449,1.0399501302043896,2.041612788161933
2020-09-30,1.12952235714876,2.067582480721499,0.8038176781008113,2.7207565792193362,1.2888228714245749,1.4820565773207515
2020-12-31,0.8840503107013841,1.9038171955219734,0.7039883753447916,2.284129874084109,1.2182035254453822,1.0743784643283272
2021-03-31,0.7983651336769799,1.7130628758073438,0.6460005203479958,1.7872737659307212,1.0772124973350201,0.8867267030240824
2021-06-30,0.8647390713306,1.6356337415293125,0.6435516534706387,1.5825353522299388,0.9981167468180852,0.9149583940830068
2021-09-30,0.9158440426255101,1.6348404166115573,0.6574974614674802,1.5735682937876956,0.9834834095079771,0.9785266812439453
2021-12-31,1.199804066466709,1.8182897725042801,0.7340362718537697,2.0276830991561794,1.091951342410471,1.285087726928724
2022-03-31,0.9998117517507179,1.829535948553602,0.7129019586447531,2.0450218404263536,1.1289115486249695,1.1488398199160428
2022-06-30,0.809104814299558,1.696896080459408,0.6563388160222161,1.7005865825128943,1.0510110126134093,0.9185199481664328
2022-09-30,0.856380674580114,1.6273658869218175,0.6479614144766306,1.5183602138230718,0.9860806556317157,0.9156091903606353
2022-12-31,0.8967022422446901,1.6181707412704296,0.6569298638796139,1.4897562435949505,0.9675065441546506,0.9608370796081727
2023-03-31,0.5180830471787901,1.3877340873960657,0.5673678575212023,0.905473680966018,0.8269573515149181,0.5880251792548732
2023-06-30,0.38986262710570996,1.1414587942084418,0.5030877793346826,0.2862621491134938,0.6394780448052481,0.3774698628352243
2023-09-30,6.206290851995533e-5,0.7514984548248712,0.3855932023301577,-0.688426330356276,0.3630033868665675,-0.056401538382096605
2023-12-31,-0.10709854873170999,0.43188981537808335,0.318450257368692,-1.4785662954331111,0.10404893622870032,-0.24891720835503572
2024-03-31,-0.20296939738875008,0.18910824319700792,0.27401325534530296,-2.070038785045358,-0.09727683432193912,-0.37105878857148666
2024-06-30,-0.16126764199983978,0.07787716511964604,0.27100422941568925,-2.328172622908207,-0.2066713253099406,-0.33879656715073214
2024-09-30,-0.09621256663704991,0.06740796389493653,0.28817594721318623,-2.3336961503569507,-0.23301935584024425,-0.25152907151680937
