x,Zero_line,Counterfactual_HLW_Ex_ante_real_rate
2020-03-31,0.0,0.0
2020-06-30,0.0,0.20392170478291197
2020-09-30,0.0,0.08763688691301241
2020-12-31,0.0,0.5219835457409381
2021-03-31,0.0,0.5376280897618791
2021-06-30,0.0,-0.11327789757445211
2021-09-30,0.0,-0.3624478366258772
2021-12-31,0.0,-0.1638936405163647
2022-03-31,0.0,-0.37123266787780257
2022-06-30,0.0,-1.2122849080842228
2022-09-30,0.0,-1.5664625136287857
2022-12-31,0.0,-1.9218717077795562
2023-03-31,0.0,-2.225578489428715
2023-06-30,0.0,-2.8221722102811677
2023-09-30,0.0,-3.4134892023347017
2023-12-31,0.0,-3.677431404764582
2024-03-31,0.0,-3.756155314982804
2024-06-30,0.0,-3.998863949510234
2024-09-30,0.0,-3.5159595075397228
