date,50.0% LB,50.0% UB,mean,HLW,,,date,50.0% LB,50.0% UB,mean,,,,Date,With FG,WithoutFG
6/30/1972,3.147618808,3.147618808,3.147618808,2.449005664,,,6/30/1972,3.147618808,3.147618808,3.147618808,,,,6/30/1972,3.147618808,3.074781116
9/30/1972,3.568268047,3.568268047,3.568268047,2.560833238,,,9/30/1972,3.568268047,3.568268047,3.568268047,,,,9/30/1972,3.568268047,3.495074369
12/31/1972,4.118941007,4.118941007,4.118941007,2.726609656,,,12/31/1972,4.118941007,4.118941007,4.118941007,,,,12/31/1972,4.118941007,4.045365112
3/31/1973,4.126448939,4.126448939,4.126448939,3.322476978,,,3/31/1973,4.126448939,4.126448939,4.126448939,,,,3/31/1973,4.126448939,4.052466921
6/30/1973,4.998221053,4.998221053,4.998221053,3.020280835,,,6/30/1973,4.998221053,4.998221053,4.998221053,,,,6/30/1973,4.998221053,4.923811254
9/30/1973,5.654446859,5.654446859,5.654446859,3.122945996,,,9/30/1973,5.654446859,5.654446859,5.654446859,,,,9/30/1973,5.654446859,5.579589774
12/31/1973,6.250500983,6.250500983,6.250500983,3.032960532,,,12/31/1973,6.250500983,6.250500983,6.250500983,,,,12/31/1973,6.250500983,6.175179138
3/31/1974,6.169859269,6.169859269,6.169859269,3.012485033,,,3/31/1974,6.169859269,6.169859269,6.169859269,,,,3/31/1974,6.169859269,6.094057093
6/30/1974,6.673693909,6.673693909,6.673693909,2.756314328,,,6/30/1974,6.673693909,6.673693909,6.673693909,,,,6/30/1974,6.673693909,6.597397596
9/30/1974,6.499551647,6.499551647,6.499551647,2.857707217,,,9/30/1974,6.499551647,6.499551647,6.499551647,,,,9/30/1974,6.499551647,6.422749013
12/31/1974,6.019635996,6.019635996,6.019635996,2.078455626,,,12/31/1974,6.019635996,6.019635996,6.019635996,,,,12/31/1974,6.019635996,5.942316339
3/31/1975,5.187478152,5.187478152,5.187478152,1.976397778,,,3/31/1975,5.187478152,5.187478152,5.187478152,,,,3/31/1975,5.187478152,5.109632109
6/30/1975,4.813149868,4.813149868,4.813149868,2.177648821,,,6/30/1975,4.813149868,4.813149868,4.813149868,,,,6/30/1975,4.813149868,4.734769287
9/30/1975,4.588139516,4.588139516,4.588139516,2.323313519,,,9/30/1975,4.588139516,4.588139516,4.588139516,,,,9/30/1975,4.588139516,4.50921732
12/31/1975,4.765549326,4.765549326,4.765549326,2.388090659,,,12/31/1975,4.765549326,4.765549326,4.765549326,,,,12/31/1975,4.765549326,4.686079396
3/31/1976,5.07258191,5.07258191,5.07258191,2.562504457,,,3/31/1976,5.07258191,5.07258191,5.07258191,,,,3/31/1976,5.07258191,4.992558975
6/30/1976,5.464977715,5.464977715,5.464977715,2.598406657,,,6/30/1976,5.464977715,5.464977715,5.464977715,,,,6/30/1976,5.464977715,5.384397248
9/30/1976,5.87966036,5.87966036,5.87966036,2.508301099,,,9/30/1976,5.87966036,5.87966036,5.87966036,,,,9/30/1976,5.87966036,5.798518486
12/31/1976,6.000674025,6.000674025,6.000674025,2.717125928,,,12/31/1976,6.000674025,6.000674025,6.000674025,,,,12/31/1976,6.000674025,5.918967439
3/31/1977,6.218206205,6.218206205,6.218206205,2.560633878,,,3/31/1977,6.218206205,6.218206205,6.218206205,,,,3/31/1977,6.218206205,6.135932106
6/30/1977,6.052556343,6.052556343,6.052556343,2.435796021,,,6/30/1977,6.052556343,6.052556343,6.052556343,,,,6/30/1977,6.052556343,5.969712369
9/30/1977,5.96702092,5.96702092,5.96702092,2.348194906,,,9/30/1977,5.96702092,5.96702092,5.96702092,,,,9/30/1977,5.96702092,5.8836051
12/31/1977,5.935511277,5.935511277,5.935511277,2.466442751,,,12/31/1977,5.935511277,5.935511277,5.935511277,,,,12/31/1977,5.935511277,5.851521991
3/31/1978,5.331250587,5.331250587,5.331250587,2.378408137,,,3/31/1978,5.331250587,5.331250587,5.331250587,,,,3/31/1978,5.331250587,5.246686541
